Var	-LOG([Fdr (Pdat Gx)])	Model	Value	-LOG([Fdr (Pdat Gx)])	Model	Value	Var
ZNF774	0.62339103	Bulk (unadjusted)	-0.538446117	0.971151956	Cell contribution (adjusted)	-0.674193663	ZNF774
ZNF773	2.460651739	Bulk (unadjusted)	-1.152478498	1.407182893	Cell contribution (adjusted)	-0.835383202	ZNF773
ZNF772	1.412860259	Bulk (unadjusted)	-0.847917209	1.426228434	Cell contribution (adjusted)	-0.841491096	ZNF772
ZNF771	0.001368911	Bulk (unadjusted)	-0.008078483	0.18341984	Cell contribution (adjusted)	-0.421405241	ZNF771
ZNF770	0.379988521	Bulk (unadjusted)	0.594243462	0.427688624	Cell contribution (adjusted)	0.641072978	ZNF770
ZNF768	0.178051978	Bulk (unadjusted)	-0.571122667	1.26753791	Cell contribution (adjusted)	-0.978984215	ZNF768
ZNF766	0.039131593	Bulk (unadjusted)	-0.154514851	0.00822899	Cell contribution (adjusted)	-0.028992896	ZNF766
ZNF765	0.198169019	Bulk (unadjusted)	0.215034153	0.606224441	Cell contribution (adjusted)	0.659791072	ZNF765
ZNF764	0.016919087	Bulk (unadjusted)	-0.097567115	0.043413133	Cell contribution (adjusted)	-0.175138225	ZNF764
ZNF763	0.029161994	Bulk (unadjusted)	0.051562268	0.020547238	Cell contribution (adjusted)	0.028569515	ZNF763
ZNF750	1.24717962	Bulk (unadjusted)	-0.844790554	0.825175631	Cell contribution (adjusted)	-0.75177243	ZNF750
ZNF749	0.068944174	Bulk (unadjusted)	0.100960442	0.00654684	Cell contribution (adjusted)	-0.009503396	ZNF749
ZNF747	0.240404535	Bulk (unadjusted)	-0.63050371	0.190743507	Cell contribution (adjusted)	-0.557516806	ZNF747
ZNF746	0.029843825	Bulk (unadjusted)	0.187271024	0.080740932	Cell contribution (adjusted)	0.36411943	ZNF746
ZNF740	0.616686194	Bulk (unadjusted)	-0.445543183	0.884423607	Cell contribution (adjusted)	-0.507769877	ZNF740
ZNF738	0.609333999	Bulk (unadjusted)	0.423131755	0.416356	Cell contribution (adjusted)	0.604074622	ZNF738
ZNF737	0.56095595	Bulk (unadjusted)	-0.506308159	0.388309325	Cell contribution (adjusted)	-0.383042861	ZNF737
ZNF736	0.040347872	Bulk (unadjusted)	-0.084077922	0.059703674	Cell contribution (adjusted)	-0.094961782	ZNF736
ZNF732	1.172428191	Bulk (unadjusted)	-0.764551559	0.262554932	Cell contribution (adjusted)	-0.295455257	ZNF732
ZNF730	0.607053217	Bulk (unadjusted)	-0.530251564	0.440971012	Cell contribution (adjusted)	-0.416608411	ZNF730
ZNF729	0.246817979	Bulk (unadjusted)	-0.310829014	0.176539239	Cell contribution (adjusted)	-0.222577268	ZNF729
ZNF728	3.089796033	Bulk (unadjusted)	-1.314660378	1.291185409	Cell contribution (adjusted)	-0.794764032	ZNF728
ZNF727	2.671666242	Bulk (unadjusted)	-0.951771772	0.015966532	Cell contribution (adjusted)	-0.031420361	ZNF727
ZNF726	1.521932786	Bulk (unadjusted)	-0.884129083	0.865224777	Cell contribution (adjusted)	-0.628604463	ZNF726
ZNF724	1.01703807	Bulk (unadjusted)	0.707276109	0.52814075	Cell contribution (adjusted)	0.465480118	ZNF724
ZNF721	0.483064822	Bulk (unadjusted)	-0.499609414	0.308351396	Cell contribution (adjusted)	-0.263551523	ZNF721
ZNF720	0.083445528	Bulk (unadjusted)	0.195351582	0.719181156	Cell contribution (adjusted)	-0.763722761	ZNF720
ZNF718	0.70243136	Bulk (unadjusted)	0.458362321	1.257719477	Cell contribution (adjusted)	0.619883762	ZNF718
ZNF717	2.356212419	Bulk (unadjusted)	-1.124075211	1.374534858	Cell contribution (adjusted)	-0.824475553	ZNF717
ZNF716	0.587598465	Bulk (unadjusted)	-0.519698201	0.4649535	Cell contribution (adjusted)	-0.430489194	ZNF716
ZNF714	0.151634963	Bulk (unadjusted)	-0.225736913	0.503948669	Cell contribution (adjusted)	-0.452436064	ZNF714
ZNF713	0.0554522	Bulk (unadjusted)	-0.125845555	0.126279765	Cell contribution (adjusted)	-0.137334138	ZNF713
ZNF711	0.110672644	Bulk (unadjusted)	-0.323304339	0.088283829	Cell contribution (adjusted)	-0.15232098	ZNF711
ZNF710	0.005104909	Bulk (unadjusted)	0.015353246	2.294311314	Cell contribution (adjusted)	-0.87467179	ZNF710
ZNF709	0.033739307	Bulk (unadjusted)	-0.079302768	0.284783057	Cell contribution (adjusted)	0.437647909	ZNF709
ZNF708	0.224613219	Bulk (unadjusted)	0.42060748	2.902239094	Cell contribution (adjusted)	0.999775119	ZNF708
ZNF707	0.13710574	Bulk (unadjusted)	-0.311281456	3.122556509	Cell contribution (adjusted)	-1.05425272	ZNF707
ZNF706	0.356722028	Bulk (unadjusted)	-1.149313634	0.413583476	Cell contribution (adjusted)	-0.664595458	ZNF706
ZNF705A	1.69183467	Bulk (unadjusted)	-0.937844423	0.43307217	Cell contribution (adjusted)	-0.411261432	ZNF705A
ZNF704	4.539257812	Bulk (unadjusted)	-1.294491631	2.283251268	Cell contribution (adjusted)	-0.873273648	ZNF704
ZNF703	9.919295667	Bulk (unadjusted)	-3.194020566	7.727333407	Cell contribution (adjusted)	-2.68731948	ZNF703
ZNF701	1.497533341	Bulk (unadjusted)	0.694142567	1.113242702	Cell contribution (adjusted)	0.579739357	ZNF701
ZNF700	0.608520092	Bulk (unadjusted)	0.925155855	2.45579209	Cell contribution (adjusted)	1.058769587	ZNF700
ZNF699	0.473496621	Bulk (unadjusted)	0.458993157	1.133175748	Cell contribution (adjusted)	0.737141185	ZNF699
ZNF697	0.142547261	Bulk (unadjusted)	0.341284	0.002236924	Cell contribution (adjusted)	0.004044628	ZNF697
ZNF696	0.291127084	Bulk (unadjusted)	-0.797154036	1.30713972	Cell contribution (adjusted)	-1.195647237	ZNF696
ZNF695	0.024444183	Bulk (unadjusted)	-0.052512102	0.120142971	Cell contribution (adjusted)	-0.14978553	ZNF695
ZNF692	0.008074155	Bulk (unadjusted)	0.061143725	0.392381401	Cell contribution (adjusted)	-0.793898221	ZNF692
ZNF691	0.033627209	Bulk (unadjusted)	0.158664268	0.043727108	Cell contribution (adjusted)	-0.152666342	ZNF691
ZNF689	0.011001247	Bulk (unadjusted)	-0.047043111	0.014901058	Cell contribution (adjusted)	-0.031836131	ZNF689
ZNF688	0.083247723	Bulk (unadjusted)	0.116981859	0.177870506	Cell contribution (adjusted)	-0.403141931	ZNF688
ZNF687	0.325924434	Bulk (unadjusted)	-0.563926688	3.023795698	Cell contribution (adjusted)	-1.023759272	ZNF687
ZNF684	0.013497914	Bulk (unadjusted)	0.045934504	1.000822022	Cell contribution (adjusted)	0.701442024	ZNF684
ZNF683	0.02326909	Bulk (unadjusted)	0.070919695	0.397053803	Cell contribution (adjusted)	-0.931485959	ZNF683
ZNF682	0.019949802	Bulk (unadjusted)	-0.036291925	0.003536691	Cell contribution (adjusted)	0.005182044	ZNF682
ZNF681	1.125036873	Bulk (unadjusted)	0.694001835	0.93917555	Cell contribution (adjusted)	0.525494986	ZNF681
ZNF680	0.04693739	Bulk (unadjusted)	-0.074941146	0.386300614	Cell contribution (adjusted)	0.67945227	ZNF680
ZNF678	0.359969104	Bulk (unadjusted)	0.394194353	0.842946447	Cell contribution (adjusted)	0.492673755	ZNF678
ZNF677	0.963169227	Bulk (unadjusted)	-0.546263614	0.050834932	Cell contribution (adjusted)	-0.066099305	ZNF677
ZNF676	0.140902028	Bulk (unadjusted)	-0.214989603	0.228956149	Cell contribution (adjusted)	0.267752903	ZNF676
ZNF675	0.671181242	Bulk (unadjusted)	0.44678365	0.359559547	Cell contribution (adjusted)	0.29057864	ZNF675
ZNF674	1.238925668	Bulk (unadjusted)	-0.625985299	1.295152075	Cell contribution (adjusted)	-0.634595848	ZNF674
ZNF672	0.235166784	Bulk (unadjusted)	0.441902021	0.001310414	Cell contribution (adjusted)	0.005043556	ZNF672
ZNF671	0.030696883	Bulk (unadjusted)	0.102795618	0.247248087	Cell contribution (adjusted)	-0.498817183	ZNF671
ZNF670-ZNF695	3.015066231	Bulk (unadjusted)	-1.294974475	2.526042368	Cell contribution (adjusted)	-1.169736766	ZNF670-ZNF695
ZNF670	0.009861885	Bulk (unadjusted)	0.04933805	1.458023644	Cell contribution (adjusted)	0.960439261	ZNF670
ZNF669	0.150222728	Bulk (unadjusted)	0.365493783	0.125694301	Cell contribution (adjusted)	0.283260434	ZNF669
ZNF668	0.027027697	Bulk (unadjusted)	0.101526282	0.379090339	Cell contribution (adjusted)	-0.301589432	ZNF668
ZNF667	2.322516447	Bulk (unadjusted)	-1.455909536	1.356162124	Cell contribution (adjusted)	-1.017908687	ZNF667
ZNF665	1.376074267	Bulk (unadjusted)	-0.697221913	0.267978225	Cell contribution (adjusted)	-0.239376217	ZNF665
ZNF664	2.139032438	Bulk (unadjusted)	-0.846597029	0.052499192	Cell contribution (adjusted)	-0.131693403	ZNF664
ZNF662	0.442058628	Bulk (unadjusted)	-1.232261697	0.235342829	Cell contribution (adjusted)	-0.645517147	ZNF662
ZNF660	0.96139299	Bulk (unadjusted)	-0.544692179	0.423204043	Cell contribution (adjusted)	-0.338492899	ZNF660
ZNF658	0.355305161	Bulk (unadjusted)	-0.388479568	0.036033642	Cell contribution (adjusted)	-0.06178769	ZNF658
ZNF655	0.174570293	Bulk (unadjusted)	0.570047055	0.320622372	Cell contribution (adjusted)	1.11139342	ZNF655
ZNF654	0.098151133	Bulk (unadjusted)	0.216905836	0.380307827	Cell contribution (adjusted)	0.495622387	ZNF654
ZNF653	0.065079177	Bulk (unadjusted)	0.192728645	0.017290429	Cell contribution (adjusted)	0.038666979	ZNF653
ZNF652	0.282747273	Bulk (unadjusted)	0.270727099	0.122198107	Cell contribution (adjusted)	0.16095196	ZNF652
ZNF649	0.013142919	Bulk (unadjusted)	-0.028475443	0.928926977	Cell contribution (adjusted)	0.525731291	ZNF649
ZNF646	0.517921894	Bulk (unadjusted)	-0.66853343	3.311544311	Cell contribution (adjusted)	-1.086481477	ZNF646
ZNF644	0.247785002	Bulk (unadjusted)	0.45476358	1.011793404	Cell contribution (adjusted)	0.847946932	ZNF644
ZNF641	0.088972424	Bulk (unadjusted)	-0.123192976	0.513733867	Cell contribution (adjusted)	-0.365004894	ZNF641
ZNF639	0.054934946	Bulk (unadjusted)	-0.293661904	1.160757169	Cell contribution (adjusted)	0.659363126	ZNF639
ZNF638	0.523522387	Bulk (unadjusted)	0.38843542	0.928294846	Cell contribution (adjusted)	0.522836244	ZNF638
ZNF630	0.153034276	Bulk (unadjusted)	-0.234369143	0.337331458	Cell contribution (adjusted)	-0.280051057	ZNF630
ZNF629	1.0167557	Bulk (unadjusted)	-1.060715726	0.982666621	Cell contribution (adjusted)	-1.032185181	ZNF629
ZNF628	0.026886455	Bulk (unadjusted)	0.236435855	0.003908718	Cell contribution (adjusted)	0.025445517	ZNF628
ZNF627	0.210116612	Bulk (unadjusted)	0.291169992	0.564396901	Cell contribution (adjusted)	0.737410752	ZNF627
ZNF626	0.108818797	Bulk (unadjusted)	0.141301407	0.461823462	Cell contribution (adjusted)	0.477780798	ZNF626
